economy,Country,Worker status,YEAR,HOURS_YEARLY,HOURS_MONTHLY
SWE,Sweden,Total,1950,1820.795,151.7329167
SWE,Sweden,Total,1951,1812.666,151.0555
SWE,Sweden,Total,1952,1812.666,151.0555
SWE,Sweden,Total,1953,1794.603,149.55025
SWE,Sweden,Total,1954,1804.538,150.3781667
SWE,Sweden,Total,1955,1794.603,149.55025
SWE,Sweden,Total,1956,1772.023,147.6685833
SWE,Sweden,Total,1957,1772.023,147.6685833
SWE,Sweden,Total,1958,1743.122,145.2601667
SWE,Sweden,Total,1959,1719.639,143.30325
SWE,Sweden,Total,1960,1715.123,142.9269167
SWE,Sweden,Total,1961,1716.93,143.0775
SWE,Sweden,Total,1962,1706.092,142.1743333
SWE,Sweden,Total,1963,1700.673,141.72275
SWE,Sweden,Total,1964,1672.674,139.3895
SWE,Sweden,Total,1965,1662.74,138.5616667
SWE,Sweden,Total,1966,1650.095,137.5079167
SWE,Sweden,Total,1967,1622.097,135.17475
SWE,Sweden,Total,1968,1583.26,131.9383333
SWE,Sweden,Total,1969,1562.487,130.20725
SWE,Sweden,Total,1970,1562.084,130.1736667
SWE,Sweden,Total,1971,1533.19,127.7658333
SWE,Sweden,Total,1972,1497.073,124.7560833
SWE,Sweden,Total,1973,1482.626,123.5521667
SWE,Sweden,Total,1974,1465.47,122.1225
SWE,Sweden,Total,1975,1443.799,120.3165833
SWE,Sweden,Total,1976,1451.926,120.9938333
SWE,Sweden,Total,1977,1427.547,118.96225
SWE,Sweden,Total,1978,1391.429,115.9524167
SWE,Sweden,Total,1979,1381.497,115.12475
SWE,Sweden,Total,1980,1380.594,115.0495
SWE,Sweden,Total,1981,1373.37,114.4475
SWE,Sweden,Total,1982,1386.011,115.5009167
SWE,Sweden,Total,1983,1395.041,116.2534167
SWE,Sweden,Total,1984,1396.847,116.4039167
SWE,Sweden,Total,1985,1401.361,116.7800833
SWE,Sweden,Total,1986,1399.555,116.6295833
SWE,Sweden,Total,1987,1407.682,117.3068333
SWE,Sweden,Total,1988,1425.741,118.81175
SWE,Sweden,Total,1989,1423.935,118.66125
SWE,Sweden,Total,1990,1422.129,118.51075
SWE,Sweden,Total,1991,1410.391,117.5325833
SWE,Sweden,Total,1992,1424.838,118.7365
SWE,Sweden,Total,1993,1441.091,120.0909167
SWE,Sweden,Total,1994,1476.305,123.0254167
SWE,Sweden,Total,1995,1481.736,123.478
SWE,Sweden,Total,1996,1492.611,124.38425
SWE,Sweden,Total,1997,1497.143,124.7619167
SWE,Sweden,Total,1998,1496.236,124.6863333
SWE,Sweden,Total,1999,1505.299,125.4415833
SWE,Sweden,Total,2000,1488.986,124.0821667
SWE,Sweden,Total,2001,1468.142,122.3451667
SWE,Sweden,Total,2002,1446.392,120.5326667
SWE,Sweden,Total,2003,1432.798,119.3998333
SWE,Sweden,Total,2004,1452.736,121.0613333
SWE,Sweden,Total,2005,1451.83,120.9858333
SWE,Sweden,Total,2006,1450.017,120.83475
SWE,Sweden,Total,2007,1461.798,121.8165
SWE,Sweden,Total,2008,1474.486,122.8738333
SWE,Sweden,Total,2009,1459.986,121.6655
SWE,Sweden,Total,2010,1485.361,123.7800833
SWE,Sweden,Total,2011,1486.267,123.8555833
SWE,Sweden,Total,2012,1472.674,122.7228333
SWE,Sweden,Total,2013,1464.517,122.0430833
SWE,Sweden,Total,2014,1465.423,122.1185833
SWE,Sweden,Total,2015,1466.33,122.1941667
SWE,Sweden,Total,2016,1478.111,123.1759167
SWE,Sweden,Total,2017,1465.423,122.1185833
SWE,Sweden,Total,2018,1464.517,122.0430833
SWE,Sweden,Total,2019,1450.923,120.91025
SWE,Sweden,Total,2020,1421.923,118.4935833
SWE,Sweden,Total,2021,1440.954,120.0795
SWE,Sweden,Total,2022,1435.517,119.6264167
SWE,Sweden,Total,2023,1430.986,119.2488333
SWE,Sweden,Total,2024,1430.986,119.2488333
USA,United States,Total,1950,2002.852,166.9043333
USA,United States,Total,1951,2021.636,168.4696667
USA,United States,Total,1952,2023.635,168.63625
USA,United States,Total,1953,2028.495,169.04125
USA,United States,Total,1954,2019.623,168.3019167
USA,United States,Total,1955,2039.928,169.994
USA,United States,Total,1956,2038.26,169.855
USA,United States,Total,1957,2010.177,167.51475
USA,United States,Total,1958,1983.864,165.322
USA,United States,Total,1959,1994.137,166.1780833
USA,United States,Total,1960,1988.789,165.7324167
USA,United States,Total,1961,1977.861,164.82175
USA,United States,Total,1962,1996.248,166.354
USA,United States,Total,1963,2009.988,167.499
USA,United States,Total,1964,2016.407,168.0339167
USA,United States,Total,1965,2025.908,168.8256667
USA,United States,Total,1966,2015.689,167.9740833
USA,United States,Total,1967,1991.881,165.9900833
USA,United States,Total,1968,1980.662,165.0551667
USA,United States,Total,1969,1978.575,164.88125
USA,United States,Total,1970,1948.727,162.3939167
USA,United States,Total,1971,1936.431,161.36925
USA,United States,Total,1972,1931.682,160.9735
USA,United States,Total,1973,1932.577,161.0480833
USA,United States,Total,1974,1901.462,158.4551667
USA,United States,Total,1975,1880.672,156.7226667
USA,United States,Total,1976,1883.513,156.9594167
USA,United States,Total,1977,1886.473,157.2060833
